PctLess9thGrade,PctNotHSGrad,PctBSorMore,population,ViolentCrimesPerPop,size
6.29,16.84,29.72,17118.0,40.21,small
3.75,12.99,29.02,35748.0,465.96,medium
15.1,30.01,13.93,11290.0,150.04,small
4.91,9.49,48.6,11439.0,49.56,small
2.92,11.27,28.3,40949.0,1812.62,medium
7.01,16.92,32.44,17790.0,129.13,small
5.62,17.1,25.95,437319.0,1841.38,superLarge
6.16,15.79,25.82,27957.0,301.31,medium
3.85,12.38,31.23,133107.0,620.53,large
1.7,9.1,22.85,12220.0,190.84,small
8.12,18.45,27.09,66072.0,726.59,large
10.36,21.66,27.84,13187.0,74.56,small
7.04,26.53,9.91,10205.0,339.96,small
7.24,14.24,29.28,49425.0,121.02,medium
11.86,28.97,26.7,130474.0,2127.02,large
28.57,49.27,4.01,11218.0,809.39,small
5.04,12.33,33.16,19949.0,199.2,small
18.7,39.06,14.77,10542.0,1527.29,small
7.31,20.21,15.16,34989.0,85.17,medium
5.71,15.38,31.26,60394.0,727.83,large
27.72,42.85,9.37,16169.0,781.32,small
5.45,14.97,28.11,14548.0,367.13,small
8.38,21.39,19.6,55006.0,155.25,large
4.32,15.18,19.28,11874.0,1634.34,small
1.9,14.13,24.07,23229.0,251.23,small
4.6,12.59,30.99,32873.0,367.33,medium
5.83,18.08,25.47,15351.0,560.56,small
5.59,14.48,40.72,124773.0,1981.45,large
7.05,11.6,66.02,12016.0,83.89,small
12.93,19.79,30.23,13547.0,39.87,small
2.21,7.51,36.94,13002.0,60.9,small
5.05,12.9,25.01,17825.0,70.4,small
11.51,20.01,23.91,23006.0,242.54,small
10.84,23.84,17.03,39802.0,574.24,medium
6.11,16.13,32.71,31287.0,288.37,medium
9.79,31.67,10.88,70487.0,1497.92,large
16.58,35.92,15.48,22911.0,681.32,small
10.91,31.91,10.07,12127.0,194.19,small
6.41,20.68,23.99,22191.0,185.48,small
18.4,33.0,22.96,3485398.0,2414.77,superLarge
22.09,42.64,15.25,13425.0,581.57,small
12.11,26.72,18.71,15411.0,197.0,small
8.04,22.68,15.93,27134.0,273.7,medium
4.85,22.08,11.41,18749.0,240.92,small
9.54,22.08,14.69,38901.0,1085.11,medium
3.09,10.57,35.12,29202.0,291.69,medium
5.02,12.8,44.98,69101.0,587.55,large
9.34,27.85,9.35,10950.0,650.49,small
6.38,19.48,31.7,18041.0,465.66,small
5.91,14.77,26.1,13800.0,221.64,small
13.76,30.81,12.8,33862.0,216.8,medium
5.74,16.79,21.03,177196.0,795.08,large
5.4,15.88,31.31,12430.0,361.75,small
9.02,26.57,12.41,16565.0,525.42,small
10.29,22.13,20.58,41943.0,1462.29,medium
13.59,29.43,15.85,16230.0,89.61,small
3.83,13.71,24.97,29603.0,227.32,medium
13.67,39.4,11.76,13024.0,2649.8,small
7.17,26.28,9.37,12233.0,46.52,small
3.31,10.83,29.54,15128.0,74.62,small
28.42,49.46,10.71,58012.0,871.02,large
1.67,4.96,46.69,28176.0,185.69,medium
15.92,34.0,23.41,41711.0,1501.93,medium
19.02,37.41,12.55,30495.0,1450.47,medium
21.02,39.39,15.6,23451.0,2344.56,small
0.72,4.95,54.34,16392.0,64.88,small
3.66,10.8,32.3,30159.0,129.64,medium
23.72,42.88,9.88,31828.0,345.46,medium
6.68,19.5,20.47,15080.0,267.33,small
12.78,36.6,6.44,12649.0,160.93,small
5.82,17.7,21.18,30533.0,80.5,medium
13.23,28.19,9.17,18828.0,399.86,small
12.41,37.21,6.79,12697.0,69.0,small
13.42,37.84,7.68,41856.0,4877.06,medium
14.76,35.01,11.45,10513.0,919.02,small
11.47,29.37,18.7,280015.0,3235.45,superLarge
12.32,26.55,27.12,1006877.0,1744.19,superLarge
13.16,28.18,21.71,15180.0,76.49,small
5.02,14.77,28.16,52179.0,339.31,large
5.73,27.56,10.13,21951.0,807.0,small
6.29,15.85,35.03,38793.0,932.05,medium
7.77,20.89,18.81,13086.0,235.04,small
16.1,41.57,8.52,78380.0,1195.53,large
8.95,21.53,33.99,20027.0,1293.95,small
9.43,23.31,22.15,87425.0,3239.2,large
11.58,26.02,18.99,39990.0,364.19,medium
7.89,19.75,16.32,51206.0,179.38,large
7.3,14.45,14.91,12287.0,43.37,small
36.43,51.9,9.47,12822.0,161.69,small
16.59,39.46,15.59,23755.0,3268.26,small
6.47,22.93,14.11,11475.0,168.99,small
34.49,47.39,12.19,28653.0,178.75,medium
11.19,30.12,11.83,14771.0,231.48,small
2.69,10.1,37.11,30270.0,103.28,medium
11.86,23.42,25.08,60536.0,203.69,large
7.4,16.52,27.26,96357.0,448.84,large
5.09,14.1,29.3,11676.0,356.17,small
3.25,9.98,53.09,16390.0,672.35,small
8.65,21.66,10.49,12363.0,981.2,small
3.42,15.5,18.85,10433.0,190.21,small
11.51,26.25,26.07,19027.0,446.77,small
2.33,6.98,45.54,12724.0,31.75,small
10.56,23.51,14.35,47564.0,868.12,medium
1.38,6.33,39.1,72820.0,225.56,large
11.53,24.49,23.22,429433.0,1631.98,superLarge
16.77,38.97,15.76,14669.0,1419.06,small
10.42,23.88,17.96,76095.0,519.47,large
3.83,12.89,27.98,38195.0,87.26,medium
3.42,10.81,31.47,79443.0,294.6,large
3.9,15.75,25.25,12996.0,53.2,small
5.65,15.96,21.32,38961.0,282.16,medium
11.35,30.5,21.1,39806.0,958.15,medium
7.06,21.78,21.57,444719.0,1389.87,superLarge
19.38,35.51,10.78,10886.0,1240.65,small
24.03,41.74,10.58,19788.0,674.67,small
9.71,22.38,13.15,10362.0,161.02,small
2.13,5.88,39.25,26540.0,332.73,medium
6.46,17.96,12.65,38142.0,620.71,medium
6.52,15.07,23.35,54523.0,442.93,large
3.34,11.15,31.52,15392.0,372.95,small
34.36,50.72,8.98,12743.0,587.33,small
2.42,7.82,39.7,16444.0,210.79,small
3.87,14.69,23.02,20469.0,500.47,small
3.34,6.81,54.86,17199.0,75.72,small
4.83,16.93,22.16,46080.0,345.45,medium
10.62,38.79,5.26,11804.0,1687.02,small
8.91,25.24,18.29,40775.0,394.74,medium
8.68,26.83,10.41,17648.0,340.43,small
11.54,29.22,20.41,67153.0,1446.56,large
4.62,15.17,18.13,30601.0,271.52,medium
17.18,32.7,22.05,16609.0,788.52,small
10.83,25.0,16.09,10453.0,393.26,small
15.06,34.74,14.37,24699.0,1783.14,small
10.55,22.97,22.52,17084.0,77.05,small
3.23,12.0,29.36,30544.0,275.58,medium
5.76,16.07,20.89,15333.0,74.08,small
5.33,16.66,21.1,32188.0,400.56,medium
9.6,26.93,16.36,46194.0,1357.38,medium
3.8,10.04,42.03,15616.0,56.31,small
5.83,13.65,36.96,10486.0,394.21,small
13.01,31.39,15.85,41036.0,445.94,medium
10.26,32.74,8.24,14044.0,522.13,small
5.07,16.98,24.0,15254.0,96.69,small
2.84,15.27,19.78,36291.0,293.41,medium
8.4,21.54,21.32,12454.0,71.54,small
1.32,5.83,48.2,19821.0,37.95,small
10.86,32.44,16.25,23146.0,516.96,small
7.46,21.1,13.37,16121.0,82.54,small
18.45,42.12,11.45,26454.0,1555.07,medium
8.35,20.07,18.13,17625.0,52.95,small
13.14,31.78,12.16,36701.0,530.57,medium
11.29,35.51,7.38,16925.0,1358.47,small
4.44,10.16,45.16,14852.0,94.07,small
3.91,8.81,53.58,28870.0,88.16,medium
2.88,12.4,26.84,10946.0,316.75,small
12.8,28.65,17.06,83995.0,1267.73,large
13.67,38.7,6.95,37319.0,106.68,medium
10.52,31.67,11.91,31258.0,191.96,medium
4.25,18.87,21.44,11796.0,142.9,small
4.56,19.32,20.5,47217.0,536.18,medium
6.12,19.67,17.88,18666.0,1678.99,small
12.65,26.07,11.35,22124.0,241.28,small
18.45,41.63,11.72,14192.0,972.89,small
7.88,23.12,13.14,10444.0,90.65,small
7.12,20.68,20.0,19382.0,1287.84,small
6.22,18.1,23.39,49938.0,136.48,medium
9.51,25.97,13.0,44962.0,488.86,medium
11.58,28.76,16.82,14096.0,609.46,small
2.66,9.58,40.44,60167.0,599.45,large
12.38,33.58,13.66,14903.0,2018.97,small
12.88,27.39,11.57,20463.0,33.66,small
10.27,24.71,19.77,15026.0,216.78,small
1.1,3.44,53.93,30576.0,136.4,medium
5.49,18.06,22.41,133850.0,687.49,large
10.71,33.24,13.49,26542.0,91.31,medium
23.05,49.37,7.46,36955.0,1664.84,medium
1.71,5.64,46.92,60569.0,293.54,large
14.49,24.61,17.42,37060.0,48.58,medium
6.28,19.96,21.68,81177.0,283.39,large
2.74,7.72,42.86,12361.0,302.76,small
22.73,36.73,11.64,19212.0,918.22,small
8.18,22.79,19.2,13296.0,86.45,small
5.93,15.88,32.16,28227.0,1185.33,medium
5.52,17.25,23.22,84985.0,369.24,large
16.51,37.12,17.69,41643.0,2047.92,medium
3.07,11.62,25.05,89235.0,266.81,large
11.36,21.34,14.48,10241.0,84.64,small
11.05,25.73,16.37,27437.0,644.09,medium
16.58,38.37,13.06,72644.0,458.28,large
5.75,18.13,22.73,304011.0,874.69,superLarge
3.21,11.87,36.01,13812.0,160.76,small
15.21,35.87,7.28,21460.0,1379.97,small
4.69,16.96,30.44,159936.0,797.66,large
2.44,9.91,23.85,40153.0,213.14,medium
17.43,37.86,17.47,16512.0,607.8,small
16.97,42.18,7.21,33497.0,2758.9,medium
6.05,14.4,35.48,27310.0,342.06,medium
5.0,14.56,17.67,13092.0,186.04,small
5.2,15.86,29.0,59718.0,111.67,large
6.2,19.28,23.32,16922.0,353.42,small
18.7,32.58,14.92,16200.0,1046.93,small
7.98,21.56,21.13,11938.0,551.69,small
11.21,37.81,9.44,26778.0,782.8,medium
14.22,32.03,13.45,22754.0,2523.46,small
1.96,7.91,36.54,16367.0,280.44,small
10.2,28.14,14.28,12636.0,155.62,small
5.34,13.63,39.14,10603.0,82.15,small
5.78,18.18,14.29,118779.0,1201.33,large
7.7,15.2,27.92,12906.0,291.16,small
2.04,6.7,47.02,13228.0,185.08,small
3.87,12.34,13.89,24079.0,417.93,small
4.09,13.22,28.58,60569.0,134.19,large
5.96,13.83,26.47,14490.0,208.53,small
7.41,18.96,20.95,17187.0,57.31,small
7.24,25.37,11.45,24664.0,446.95,small
4.16,14.54,21.44,23163.0,154.77,small
7.74,23.52,16.92,19478.0,121.99,small
2.89,12.3,31.39,28150.0,73.07,medium
6.6,17.63,22.86,16787.0,65.46,small
9.09,23.23,16.74,22286.0,535.49,small
6.62,22.55,15.06,25408.0,252.63,medium
11.24,27.54,29.3,58282.0,1756.32,large
1.31,3.27,65.82,23478.0,212.45,small
17.83,25.32,16.81,16097.0,36.89,small
1.6,7.13,44.15,20390.0,368.76,small
11.78,30.81,18.7,23071.0,1439.97,small
4.69,11.75,33.48,26801.0,273.51,medium
3.59,7.56,42.18,13289.0,75.52,small
4.72,14.02,32.62,27603.0,71.56,medium
5.07,17.21,26.25,14837.0,310.48,small
8.53,23.66,13.38,10145.0,152.6,small
10.23,32.78,14.02,52376.0,2105.73,large
2.22,11.27,15.58,24603.0,368.05,small
12.42,32.71,16.05,328123.0,1933.77,superLarge
14.0,33.63,17.83,78122.0,1363.32,large
9.38,24.21,16.81,22117.0,480.51,small
5.24,18.63,15.22,74991.0,303.72,large
17.26,33.67,15.29,22355.0,206.88,small
7.79,23.64,21.0,50961.0,1846.45,large
11.71,29.55,19.26,53589.0,1257.09,large
12.15,24.77,19.65,75636.0,776.61,large
5.02,15.34,18.89,23696.0,319.99,small
9.78,25.41,21.52,47181.0,1399.48,medium
7.74,25.45,16.18,12588.0,442.24,small
18.42,38.5,9.74,10678.0,173.77,small
26.36,44.73,12.55,18853.0,765.85,small
3.11,9.86,23.83,32983.0,111.07,medium
3.89,16.16,21.44,24848.0,1454.74,small
10.94,26.11,15.71,71349.0,2541.38,large
11.35,29.91,16.56,137560.0,987.42,large
8.86,23.91,9.87,13794.0,92.08,small
9.47,20.99,33.72,44972.0,1577.75,medium
9.45,20.15,20.84,24832.0,1523.92,small
16.5,39.28,7.75,16210.0,619.51,small
4.43,11.26,48.97,58441.0,52.25,large
10.13,23.06,23.49,369365.0,1290.43,superLarge
9.4,26.03,19.27,70576.0,1523.3,large
11.05,29.59,13.59,81805.0,288.4,large
4.55,18.18,18.58,10742.0,73.23,small
10.68,27.03,16.49,40961.0,524.67,medium
5.04,17.7,16.01,53367.0,491.66,large
6.32,16.88,25.62,14427.0,80.61,small
13.87,34.43,18.07,29925.0,2594.03,medium
36.2,59.05,5.25,86284.0,1097.77,large
12.39,28.38,21.47,447619.0,1516.12,superLarge
6.88,19.36,23.65,24124.0,951.3,small
15.57,32.53,14.88,13786.0,373.54,small
13.43,20.81,20.51,12703.0,189.01,small
6.36,22.05,14.94,40663.0,743.07,medium
3.82,13.96,34.7,25058.0,228.86,medium
0.66,2.93,42.39,12329.0,7.79,small
11.77,31.18,9.5,13441.0,995.75,small
1.1,4.69,50.25,66643.0,387.2,large
3.15,11.68,29.27,31808.0,328.75,medium
8.51,25.0,18.49,19587.0,1205.17,small
4.26,13.03,49.32,37729.0,509.18,medium
1.42,4.29,59.18,34128.0,140.72,medium
15.95,30.6,13.39,29809.0,878.94,medium
4.47,16.32,22.16,47828.0,294.92,medium
4.09,16.84,15.71,12711.0,155.04,small
5.39,19.0,19.52,14877.0,202.31,small
8.9,21.71,16.05,25894.0,720.05,medium
3.4,11.38,29.77,21282.0,185.97,small
17.68,34.12,11.63,14399.0,133.68,small
5.11,14.19,22.41,10507.0,190.95,small
2.74,10.13,37.68,27018.0,62.29,medium
17.41,40.75,8.97,10201.0,2650.26,small
9.28,17.23,35.24,14088.0,405.71,small
9.36,30.64,8.19,31007.0,264.07,medium
9.9,25.4,17.08,21756.0,485.38,small
5.42,13.81,29.98,20429.0,103.96,small
23.35,43.5,13.42,15464.0,1640.6,small
8.95,23.2,9.13,18659.0,217.26,small
7.84,26.21,12.16,11353.0,279.45,small
11.81,29.67,19.21,39498.0,567.54,medium
4.19,17.51,17.34,64942.0,269.82,large
8.27,25.62,13.75,34439.0,880.44,medium
7.69,23.61,24.42,13864.0,703.74,small
9.19,28.02,18.46,105511.0,1093.15,large
8.27,22.5,16.82,11936.0,1095.46,small
5.74,14.88,27.58,10378.0,178.57,small
4.11,11.01,43.07,12830.0,138.57,small
5.08,12.1,45.01,16116.0,181.86,small
8.65,26.81,10.16,72388.0,1380.76,large
17.0,37.58,15.98,54732.0,1486.61,large
10.72,34.13,11.83,61018.0,2423.47,large
17.29,30.22,39.71,33397.0,772.3,medium
26.89,40.73,14.8,48735.0,758.39,medium
8.71,22.19,16.69,16064.0,234.77,small
7.01,23.74,15.61,10850.0,116.21,small
4.48,11.12,44.09,13057.0,699.49,small
9.72,25.4,9.84,19833.0,225.01,small
8.89,21.36,17.01,13222.0,500.94,small
2.95,7.08,53.72,37991.0,106.93,medium
8.88,21.69,17.0,34986.0,284.21,medium
9.59,24.81,17.44,14143.0,667.04,small
13.79,34.35,11.85,15722.0,634.79,small
1.85,5.96,54.85,20267.0,52.35,small
10.99,21.56,12.43,18245.0,264.97,small
7.26,22.09,13.05,31499.0,339.92,medium
10.6,32.12,8.25,12603.0,81.02,small
1.46,4.27,58.51,11671.0,140.18,small
13.79,27.68,13.89,51874.0,1195.76,large
15.64,32.68,22.56,13051.0,63.81,small
7.57,17.46,22.6,26777.0,264.67,medium
5.78,12.06,46.78,11532.0,99.47,small
7.7,16.81,28.05,18820.0,443.73,small
5.32,19.47,11.63,18150.0,201.24,small
6.95,16.0,35.13,15244.0,208.53,small
10.63,32.0,12.96,38705.0,168.57,medium
7.75,19.76,15.13,27257.0,426.57,medium
5.43,19.78,25.12,11980.0,354.96,small
18.74,33.85,11.63,10922.0,339.73,small
7.94,19.73,26.56,16919.0,47.5,small
11.33,21.98,35.04,723959.0,1810.07,superLarge
5.42,17.52,16.37,43207.0,686.47,medium
2.4,7.93,49.01,44757.0,220.96,medium
14.36,40.94,7.06,15520.0,2089.32,small
7.98,24.15,17.48,30087.0,494.37,medium
10.96,27.41,15.85,59479.0,332.0,large
5.51,12.51,43.39,86905.0,1651.73,large
2.67,5.48,56.03,22023.0,9.07,small
19.04,33.06,10.72,20710.0,161.51,small
6.25,15.88,21.05,10993.0,168.48,small
5.01,17.89,16.66,62632.0,602.99,large
5.03,16.35,15.89,68235.0,342.53,large
8.74,27.67,13.99,108718.0,770.88,large
2.4,10.15,34.54,86835.0,157.99,large
20.79,36.26,9.73,39757.0,374.18,medium
7.33,23.31,12.04,10891.0,468.1,small
4.78,13.3,50.16,29541.0,352.88,medium
4.7,15.5,18.17,30013.0,533.46,medium
5.48,19.1,16.87,11127.0,70.08,small
5.08,18.2,20.9,65452.0,305.77,large
2.36,8.46,40.16,29092.0,122.91,medium
17.15,31.84,12.11,16797.0,571.65,small
14.73,30.42,15.79,10828.0,47.43,small
3.73,7.47,48.85,18885.0,9.24,small
13.84,31.86,10.81,23706.0,1121.64,small
1.67,7.65,19.13,22935.0,195.71,small
10.79,28.95,8.19,12450.0,851.23,small
13.12,30.85,18.58,23095.0,333.66,small
7.68,20.8,29.05,467610.0,1038.27,superLarge
25.45,46.07,3.49,10033.0,499.33,small
6.53,21.5,18.84,10191.0,310.85,small
4.19,17.79,13.91,40318.0,331.36,medium
4.09,11.89,31.26,76459.0,599.49,large
12.31,23.96,14.68,14196.0,260.97,small
8.19,19.84,22.48,40822.0,87.1,medium
5.1,14.85,25.9,39729.0,477.21,medium
6.32,15.9,24.29,20412.0,290.85,small
5.73,18.56,15.87,52721.0,1073.8,large
15.0,38.62,13.47,55551.0,875.19,large
15.01,30.58,18.36,70580.0,889.17,large
3.23,10.6,36.21,12066.0,351.8,small
8.81,21.41,17.87,12777.0,536.23,small
4.69,11.12,36.39,48290.0,398.76,medium
2.43,7.96,43.13,25725.0,200.02,medium
16.94,36.9,18.39,36930.0,1449.39,medium
30.07,48.01,9.2,36793.0,950.75,medium
8.66,22.1,24.05,40148.0,1239.22,medium
0.77,3.24,60.32,20816.0,103.33,small
3.77,14.96,24.11,18609.0,326.81,small
2.94,9.64,36.83,32762.0,89.45,medium
5.43,12.32,43.95,24727.0,187.87,small
6.89,20.66,18.44,170045.0,845.63,large
16.55,39.6,14.21,14917.0,341.75,small
4.38,12.62,33.75,22633.0,103.35,small
13.25,36.72,9.8,20570.0,895.24,small
18.32,36.97,12.11,14519.0,1647.53,small
31.54,46.73,10.51,12351.0,62.14,small
19.14,40.41,15.11,11643.0,936.82,small
18.62,38.26,21.1,10690.0,295.76,small
2.81,9.59,32.62,24437.0,261.4,small
3.35,9.61,40.97,20526.0,114.23,small
15.47,37.38,11.25,14870.0,683.46,small
14.56,27.91,22.92,82106.0,544.59,large
13.67,31.74,12.92,36322.0,1280.84,medium
6.94,19.83,32.79,33187.0,1428.53,medium
8.13,17.41,36.12,10170.0,137.89,small
26.95,52.39,9.22,10322.0,1329.57,small
3.17,7.27,60.94,18630.0,116.35,small
6.04,22.18,21.26,85427.0,423.52,large
3.87,12.3,30.6,10098.0,210.18,small
4.17,11.99,40.94,43548.0,152.07,medium
9.81,26.71,16.74,72798.0,690.79,large
10.34,24.3,30.0,574283.0,1968.89,superLarge
7.7,20.6,14.81,20958.0,122.74,small
3.27,9.41,46.21,27901.0,53.7,medium
8.54,26.28,13.24,11886.0,493.73,small
4.65,13.51,47.94,60633.0,815.98,large
6.41,13.37,40.75,67460.0,411.23,large
3.84,9.38,41.98,191262.0,321.68,large
17.88,34.91,15.65,10967.0,1300.88,small
12.0,25.29,13.57,11249.0,80.12,small
3.72,12.43,23.41,33836.0,421.75,medium
8.55,21.93,14.26,11329.0,66.33,small
9.18,25.0,17.15,20457.0,1874.95,small
20.43,41.52,11.46,110002.0,1311.2,large
9.55,29.64,11.21,13647.0,292.0,small
7.4,18.69,18.47,75494.0,1130.86,large
22.45,45.12,8.71,140891.0,1571.14,large
6.21,17.79,26.54,27630.0,887.29,medium
1.84,6.14,29.1,18482.0,65.71,small
6.2,21.19,20.36,11216.0,207.79,small
0.62,2.95,66.02,16642.0,51.42,small
15.03,34.2,13.58,10380.0,241.31,small
10.59,28.02,9.44,87535.0,1333.23,large
32.85,52.91,10.17,11238.0,944.85,small
3.16,14.94,12.98,11272.0,108.49,small
15.48,38.02,15.86,10464.0,1724.14,small
4.23,12.77,21.7,13658.0,61.12,small
0.74,5.4,35.93,11280.0,179.32,small
14.39,24.49,15.45,13798.0,198.79,small
7.09,23.31,15.61,17032.0,322.81,small
5.48,16.67,29.34,11234.0,124.32,small
6.18,20.42,22.04,11488.0,84.88,small
6.61,19.23,19.54,11766.0,170.15,small
11.74,21.81,10.72,11982.0,74.96,small
1.84,5.82,45.65,86874.0,223.06,large
7.85,12.51,30.51,10610.0,103.33,small
4.17,15.13,17.55,18692.0,245.51,small
5.46,11.77,56.99,11096.0,358.97,small
5.57,16.95,26.63,31813.0,505.1,medium
2.49,8.76,44.72,21096.0,551.32,small
13.83,29.64,14.18,30491.0,997.03,medium
11.03,25.29,14.33,10266.0,295.04,small
10.3,23.15,28.68,30707.0,151.78,medium
7.75,16.25,36.0,32016.0,64.61,medium
8.8,23.24,28.34,219531.0,2978.69,superLarge
14.04,23.65,14.08,17592.0,158.85,small
19.77,40.08,10.47,11227.0,1390.25,small
5.49,17.05,24.7,28199.0,133.87,medium
24.71,53.08,5.65,17637.0,1483.15,small
31.51,46.11,10.39,15791.0,724.94,small
14.8,35.62,13.23,32462.0,872.72,medium
7.52,25.96,15.81,19211.0,300.04,small
9.59,26.65,21.39,27925.0,744.75,medium
11.18,33.24,5.64,10935.0,267.96,small
16.05,33.58,13.44,29115.0,1318.22,medium
1.51,4.77,61.5,12959.0,198.88,small
10.24,23.27,19.08,24309.0,72.71,small
10.42,23.91,17.85,23756.0,102.2,small
9.6,20.68,11.47,11618.0,88.3,small
17.16,34.0,14.93,109602.0,2078.85,large
6.8,23.5,13.68,13584.0,62.53,small
8.49,28.16,11.06,21128.0,427.27,small
3.88,8.37,48.96,23936.0,348.5,small
19.2,38.47,15.41,25295.0,1336.03,medium
9.08,19.15,16.66,96466.0,435.6,large
5.15,16.94,29.81,12361.0,196.79,small
5.03,17.74,25.82,367302.0,1304.78,superLarge
5.84,15.72,31.61,47089.0,313.89,medium
9.36,27.07,11.33,35701.0,1678.08,medium
8.98,22.95,23.16,17233.0,151.13,small
5.35,20.23,15.26,35317.0,184.39,medium
5.19,12.22,37.87,16139.0,127.65,small
2.38,11.26,17.9,17635.0,375.3,small
11.74,25.06,19.57,99567.0,223.14,large
3.29,10.34,33.23,33823.0,58.24,medium
7.93,25.29,12.56,13087.0,1032.91,small
8.49,20.07,21.55,14997.0,566.68,small
21.98,41.94,11.8,16996.0,457.72,small
9.61,23.43,19.86,10415.0,645.16,small
9.51,24.82,21.93,13068.0,485.77,small
2.43,10.11,42.17,11929.0,209.22,small
6.65,17.83,23.2,10621.0,280.93,small
6.84,15.17,23.44,14967.0,281.32,small
1.87,3.98,62.81,13512.0,99.9,small
8.14,27.68,13.08,31933.0,316.55,medium
5.46,15.64,29.42,11005.0,355.9,small
3.88,13.6,18.34,16813.0,29.8,small
3.3,11.94,33.41,13116.0,286.09,small
1.79,5.29,46.99,16881.0,44.22,small
21.66,40.4,13.13,131723.0,1627.33,large
12.71,25.55,14.48,32520.0,110.97,medium
14.59,30.72,15.1,44654.0,816.02,medium
2.77,9.74,32.25,19807.0,138.91,small
11.14,28.09,11.72,10040.0,177.73,small
3.41,11.13,56.72,11553.0,585.46,small
6.11,18.05,30.34,175795.0,3255.71,large
15.97,34.89,18.42,17457.0,591.24,small
8.37,22.87,17.91,29034.0,577.61,medium
19.11,37.61,12.59,12476.0,288.65,small
11.24,24.92,16.23,19154.0,1607.83,small
11.7,32.33,9.75,61840.0,736.68,large
11.31,27.3,17.19,45048.0,581.98,medium
8.78,21.46,11.41,14638.0,44.64,small
6.98,13.33,30.66,12236.0,141.75,small
8.24,26.15,11.41,70218.0,2264.09,large
11.25,30.7,17.89,49998.0,1818.82,medium
5.89,14.86,25.3,56958.0,138.56,large
4.85,18.75,14.95,19661.0,122.9,small
6.92,19.22,25.24,19163.0,75.88,small
12.26,29.67,17.34,12756.0,324.52,small
15.56,35.31,15.8,11037.0,1264.79,small
8.08,25.15,13.34,34738.0,559.86,medium
2.66,9.53,40.05,12551.0,21.66,small
